1,Dairy,"Sour cream, 12%",3,12,3.4,135,1
2,Dairy,"Yogurt, plain, low fat, 12 grams protein per 8 ounce",5.25,1.55,7.04,63,1
3,Egg Products,"Egg, whole, raw, fresh",12.56,9.51,0.72,143,2
4,Egg Products,"Egg, white, raw, fresh",10.9,0.17,0.73,52,2
5,Dairy,"Butter, cream",5.1,20,4.1,216,1
6,Dairy,"Cheese, trappist, light",31.3,9.7,1.7,219,1
7,Dairy,"Cream, cooking, 10%",2.8,10,4,117,1
8,Dairy,"Milk, lowfat, fluid, 1,5% milkfat",3,1.5,4.7,44,1
9,Vegetables,"Peppers, sweet, cappa, raw",1.4,0.2,5.4,30,
10,Vegetables,"Salad, raw",1,0,3,14,
11,Vegetables,"Zucchnini, raw",1.2,0.1,3.3,16,
12,Vegetables,"Cherry tomatoes, red, raw",1,0.2,4,23,
13,Vegetables,"Potatoes, purple",2.34,1,17.58,82,
14,Baked Products,"Finn crisp, original",10,2.6,59,339,5
15,Baked Products,"Bread crumbs, dry, whole wheat",13.3,5,60,339.5,5
16,Baked Products,"Bread, whole wheat",11.2,1.1,47,258,5
17,Snacks,Korpovit,13.9,13,67,453,5
18,Grains,"Oats, wheat",16.89,6.9,66.27,389,5
19,Grains,"Rice, white, basmati",2,0.1,24.24,106,
20,Vegetables,"Sweet popatoes, raw",1.5,0.05,20,86,
21,Dairy,"Cheese, cream, herbs",4,23,3,244,1
22,Vegetables,Green beans,1.7,0.4,3.6,25,
23,Poultry,"Chicken breast tenders, breaded, uncooked",14.73,15.75,15.01,263,
24,Dairy,"Cheese, mozzarella, nonfat",31.7,0,3.5,141,1
25,Vegetables,"Onions, raw",1.1,0.1,9.34,40,
26,Vegetables,"Spinach, raw",2.86,0.39,3.63,23,
27,Fats and Oils,"Oil, olive, salad or cooking",0,100,0,884,
28,Fruits,"Strawberries, raw",0.67,0.3,7.68,32,
29,Fruits,"Apples, raw, with skin",0.26,0.17,13.81,52,
30,Fruits,"Cherries, sour, red, raw",1,0.3,12.18,50,
31,Fruits,"Grapes, red or green (European type, such as Thompson seedless), raw",0.72,0.16,18.1,69,
32,Fruits,"Peaches, yellow, raw",0.91,0.25,9.54,39,
33,Fruits,"Raspberries, raw",1.2,0.65,11.94,52,
34,Vegetables,"Carrots, raw",0.93,0.24,9.58,41,
35,Vegetables,"Corn, sweet, yellow, raw",3.27,1.35,18.7,86,
36,Vegetables,"Peas, green, raw",5.42,0.4,14.45,81,
37,Vegetables,"Peppers, sweet, green, raw",0.86,0.17,4.64,20,
38,Vegetables,"Sweet potato, raw, unprepared",1.57,0.05,20.12,86,
39,Vegetables,"Tomatoes, red, ripe, raw, year round average",0.88,0.2,3.89,18,
40,Vegetables,"Broccoli, raw",2.82,0.37,6.64,34,
41,Vegetables,"Celeric, raw",1.5,0.3,9.2,42,
42,Nut and Seed Products,"Nuts, cashew nuts, raw",18.22,43.85,30.19,553,3
43,Vegetables,"Cucumber, with peel, raw",0.65,0.11,3.63,15,
44,Fruits,"Bananas, raw",1.09,0.33,22.84,89,
45,Dairy,"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",12.4,1,3.2,74,1
46,Cereal Grains and Pasta,"Wheat flour, whole-grain",13.21,2.5,71.97,340,5
47,Vegetables,"Garlic, raw",6.36,0.5,33.06,149,
48,Fruits,"Mulberries, raw",1.44,0.39,9.8,43,
49,Sweets,Honey,0.3,0,82.4,304,
50,Fruits,"Orange juice, raw",0.7,0.2,10.4,45,
51,Fats and Oils,"Mayonnaise, reduced-calorie or diet, cholesterol-free",0.9,33.3,6.7,333,
52,Vegetables,"Turnips, raw",0.9,0.1,6.43,28,
53,Beverages,"Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink",0.42,1.04,6.59,38,3
54,Fish,"Crustaceans, shrimp, mixed species, raw (may have been previously frozen)",13.61,1.01,0.91,71,4
55,Vegetables,"Tomato sauce, canned, no salt added",1.2,0.3,5.31,24,
56,Fruits,"Kiwifruit, green, raw",1.14,0.52,14.66,61,
57,Fish,"Fish, salmon, Atlantic, wild, raw",19.84,6.34,0,142,4
58,Legumes and Legume Products,"Peanuts, all types, raw",25.8,49.24,16.13,567,3
59,Cereal Grains and Pasta,"Semolina, enriched",12.68,1.05,72.83,360,5
60,Cereal Grains and Pasta,"Rye flour, dark",15.91,2.22,68.63,325,5
61,Sausages and Luncheon Meats,Bacon and beef sticks,29.1,44.2,0.8,517,
62,Poultry,"Chicken, broilers or fryers, drumstick, meat only, cooked, fried",28.62,8.08,0,195,
